yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2018 003 01 03  58121     33.7439688099380   4.210078E-013     29.6349254479363        -369741.19608      20.5276         5.5 
nGRPmax
    534
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
  165   165    1191670  40211.719572  58121.4654134209660     5.54     7.55          2      0.40439  110114.703620   39674.703620
  166   166    1192028  40223.799841  58121.4655532388990     6.17    11.88          3      0.40208  110126.784269   39686.784270
  167   167    1193006  40256.801568  58121.4659352033280     8.69     8.89          2      0.40531  110159.787040   39719.787040
  168   168    1193715  40280.726038  58121.4662121069180     6.27     8.40          2      0.40483  110223.712265   39743.712265
  169   169    1194472  40306.270341  58121.4665077585790     5.94     7.67          2      0.40794  110249.257375   39769.257375
  170   170    1195713  40348.146547  58121.4669924368900     6.21     6.21          1      0.40561  110331.134904   39811.134905
  171   171    1197791  40418.266537  58121.4678040108540     9.51    18.09          4      0.40519  110441.257109   39881.257110
  172   172    1199574  40478.432105  58121.4685003715840     6.78     9.06          2      0.40644  110541.424579   39941.424580
  173   173    1200687  40515.989093  58121.4689350589440     6.57     7.14          2      0.40442  110618.982754   39978.982755
  174   174    1201375  40539.205044  58121.4692037620860     5.54     5.54          1      0.40703  110642.199439   40002.199440
  175   175    1202240  40568.393606  58121.4695415926660     6.62     6.62          1      0.40747  110711.388924   40031.388925
  176   176    1202418  40574.399941  58121.4696111104260     6.87     6.87          1      0.40467  110717.395450   40037.395450
  177   177    1206156  40700.535047  58121.4710710074880     6.54     7.91          2      0.40722  110923.534545   40163.534545
  178   178    1206250  40703.706547  58121.4711077146620     6.89     6.89          1      0.39433  110926.706144   40166.706145
  179   179    1206838  40723.548434  58121.4713373661310     8.50    10.22          2      0.40689  110946.548660   40186.548660
  180   180    1207995  40762.590069  58121.4717892369020    33.42    48.81          4      0.40225  111025.591529   40225.591530
  181   181    1208363  40775.007756  58121.4719329601410     6.71    10.96          2      0.39931  111038.009610   40238.009610
  182   182    1208513  40780.069626  58121.4719915465980     7.48    10.04          2      0.40736  111043.071640   40243.071640
  183   183    1209103  40799.978366  58121.4722219718270    16.35    23.98          4      0.40108  111102.981010   40262.981010
  184   184    1210162  40835.713406  58121.4726355718270    54.00    61.92          2      0.40578  111138.717179   40298.717180
  185   185    1210805  40857.410829  58121.4728866994180    12.32    17.16          3      0.40697  111200.415289   40320.415290
  186   186    1212800  40924.729984  58121.4736658562940     6.69     7.13          2      0.40408  111307.736575   40387.736575
  187   187    1214179  40971.262821  58121.4742044307970    11.50    21.19          3      0.40056  111354.270884   40434.270885
  188   188    1214522  40982.836970  58121.4743383908610     5.60     7.10          2      0.39939  111405.845399   40445.845400
  189   189    1217062  41068.546876  58121.4753304036610   109.79   122.16          3      0.40478  111531.558019   40531.558020
  190   190    1217735  41091.256112  58121.4755932420350     5.76    11.18          3      0.39097  111554.267975   40554.267975
  191   191    1218043  41101.649583  58121.4757135368450     6.67     6.67          1      0.40053  111604.661775   40564.661775
  192   192    1221053  41203.218991  58121.4768891086980    80.33    96.28          4      0.40083  111746.234400   40666.234400
  193   193    1222566  41254.273394  58121.4774800161280    20.21    25.90          3      0.39347  111837.290419   40717.290420
  194   194    1234947  41672.057971  58121.4823154857730     5.69    12.75          4      0.40186  112535.088239   41135.088240
  195   195    1236588  41727.431970  58121.4829563885440     6.87     9.15          2      0.40533  112630.463994   41190.463995
  196   196    1237191  41747.779434  58121.4831918915970     6.89     8.74          2      0.40061  112650.812104   41210.812105
  197   197    1238164  41780.612568  58121.4835719047170    28.74    34.19          2      0.40756  112723.646280   41243.646280
  198   198    1239659  41831.059837  58121.4841557851520     8.35    13.80          3      0.40786  112814.095150   41294.095150
  199   199    1242316  41920.717177  58121.4851934858500    12.50    22.50          5      0.39506  112943.755335   41383.755335
  200   200    1243760  41969.443625  58121.4857574493700     5.58     9.82          3      0.39894  113032.483330   41432.483330
  201   201    1244387  41990.601378  58121.4860023307650    46.90    51.34          2      0.40706  113053.641754   41453.641755
  202   202    1244731  42002.209150  58121.4861366799740   377.44   449.44          4      0.40233  113105.249895   41465.249895
  203   203    1244742  42002.580208  58121.4861409746300     7.54     7.54          1      0.39861  113105.620965   41465.620965
  204   204    1245318  42022.016861  58121.4863659358850     8.27    10.41          2      0.40206  113125.058234   41485.058235
  205   205    1253880  42310.933019  58121.4897098729090     8.89     8.89          1      0.40636  113613.983569   41773.983570
  206   206    1254650  42336.915834  58121.4900105999360     9.00    11.36          2      0.40472  113639.967210   41799.967210
  207   207    1256262  42391.311275  58121.4906401767940     6.62     6.62          1      0.40872  113734.364379   41854.364380
  208   208    1257162  42421.680670  58121.4909916744190    15.02    16.52          2      0.40300  113804.734739   41884.734740
  209   209    1258182  42456.099675  58121.4913900425340     9.60    14.66          3      0.40711  113839.154840   41919.154840
  210   210    1259883  42513.498326  58121.4920543787780    10.79    16.80          3      0.41094  113936.555314   41976.555315
  211   211    1268198  42794.079376  58121.4953018446340     8.56    10.19          2      0.40503  114417.145290   42257.145290
  212   212    1268272  42796.576456  58121.4953307460220     8.80    14.27          3      0.40578  114419.642449   42259.642450
  213   213    1274496  43006.598776  58121.4977615599100     9.38    12.05          2      0.39822  114749.671455   42469.671455
  214   214    1274899  43020.197913  58121.4979189573250     7.19     9.35          2      0.40742  114803.271025   42483.271025
  215   215    1275003  43023.706836  58121.4979595698560     9.61    11.53          2      0.39403  114806.780059   42486.780060
  216   216    1275111  43027.351720  58121.4980017560190     8.55     8.55          1      0.40983  114810.425060   42490.425060
  217   217    1275527  43041.388918  58121.4981642235900    43.10    48.57          3      0.40094  114824.462704   42504.462705
  218   218    1277582  43110.732789  58121.4989668146940     6.68     6.68          1      0.40031  114933.808785   42573.808785
  219   219    1278487  43141.271312  58121.4993202698110     7.84     8.73          2      0.40664  115004.348279   42604.348280
  220   220    1278553  43143.498361  58121.4993460458370    59.11    67.37          3      0.40503  115006.575400   42606.575400
  221   221    1278597  43144.982878  58121.4993632277500     6.93     6.93          1      0.39858  115008.059965   42608.059965
  222   222    1278874  43154.330221  58121.4994714145920     9.28     9.28          1      0.40622  115017.407605   42617.407605
  223   223    1281493  43242.705650  58121.5004942783620    14.64    17.67          2      0.40408  115145.785850   42705.785850
  224   224    1284097  43330.574790  58121.5015112822910    10.49    13.55          3      0.39806  115313.657789   42793.657790
