yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2018 003 01 03  58121     33.7439688099380   4.210078E-013     29.6349254479363        -369741.19608      20.5276         5.5 
nGRPmax
   7961
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
  166   166     995224  33582.835135  58121.3886902214780    13.80    17.38          3     -0.00128   91045.611499   33045.611500
  167   167     995415  33589.280249  58121.3887648177020     6.34    13.59          4     -0.00089   91052.056815   33052.056815
  168   168     995532  33593.228371  58121.3888105135620     7.45    10.54          2      0.00139   91056.005060   33056.005060
  169   169     995534  33593.295754  58121.3888112934530     6.09    10.91          3     -0.00172   91056.072444   33056.072445
  170   170     995684  33598.357522  58121.3888698787330    11.94    14.16          2      0.00331   91101.134369   33061.134370
  171   171     995804  33602.406716  58121.3889167443970     9.53    17.07          4      0.00083   91105.183689   33065.183690
  172   172     995888  33605.241343  58121.3889495525760     7.81    15.40          4      0.00475   91108.018405   33068.018405
  173   173     995896  33605.511054  58121.3889526742400    11.40    18.64          3     -0.00239   91108.288124   33068.288125
  174   174     995993  33608.784277  58121.3889905587580     8.68    22.58          6     -0.00069   91111.561450   33071.561450
  175   175     996008  33609.290462  58121.3889964173820    19.46    29.88          4      0.00003   91112.067649   33072.067650
  176   176     996055  33610.876522  58121.3890147745660    11.83    24.43          4      0.00281   91113.653760   33073.653760
  177   177     996076  33611.585125  58121.3890229759870     9.47    18.53          4      0.00219   91114.362385   33074.362385
  178   178     996360  33621.168232  58121.3891338915710    10.13    13.23          2     -0.00328   91123.945789   33083.945790
  179   179     996391  33622.214415  58121.3891460001790    12.54    20.15          3      0.00025   91124.992005   33084.992005
  180   180     996425  33623.361649  58121.3891592783490    16.70    32.25          4     -0.00156   91126.139275   33086.139275
  181   181     996428  33623.462981  58121.3891604511620     6.93    13.51          3      0.00139   91126.240610   33086.240610
  182   182     996606  33629.469439  58121.3892299703550    15.27    17.33          2      0.00228   91132.247255   33092.247255
  183   183     996692  33632.371244  58121.3892635560580     9.05    28.07          7     -0.00300   91135.149149   33095.149150
  184   184     996798  33635.948192  58121.3893049559300     9.75    24.31          5     -0.00044   91138.726210   33098.726210
  185   185     996812  33636.420633  58121.3893104239870     5.71    14.09          4      0.00028   91139.198665   33099.198665
  186   186     996838  33637.297815  58121.3893205765630    12.07    17.10          3     -0.00447   91140.075875   33100.075875
  187   187     997513  33660.075197  58121.3895842036610    11.51    20.93          4      0.00122   91202.853965   33122.853965
  188   188     997818  33670.367052  58121.3897033223680     8.32    13.21          3     -0.00056   91213.146139   33133.146140
  189   189     997841  33671.143067  58121.3897123040130     6.97     6.97          1     -0.00339   91213.922180   33133.922180
  190   190     997853  33671.548125  58121.3897169921920     5.59    10.94          3      0.00047   91214.327250   33134.327250
  191   191     998072  33678.937850  58121.3898025214210    28.65    36.84          3     -0.00567   91221.717205   33141.717205
  192   192     998130  33680.895179  58121.3898251756800   162.48   180.30          3     -0.00042   91223.674594   33143.674595
  193   193     998309  33686.935196  58121.3898950832900    35.63    38.54          2     -0.00503   91229.714800   33149.714800
  194   194     998366  33688.858726  58121.3899173463680     6.98    10.54          3     -0.00136   91231.638390   33151.638390
  195   195     998380  33689.331036  58121.3899228129150     9.06    11.17          2     -0.00450   91232.110715   33152.110715
  196   196     998736  33701.344068  58121.3900618526340    17.49    19.90          3      0.00064   91244.124120   33164.124120
  197   197     998747  33701.715261  58121.3900661488510     6.41    18.13          4      0.00092   91244.495325   33164.495325
  198   198     998869  33705.832058  58121.3901137969660     8.82    15.25          3      0.00183   91248.612249   33168.612250
  199   199     998979  33709.543868  58121.3901567577340    18.55    20.96          2      0.00100   91252.324175   33172.324175
  200   200     999029  33711.231035  58121.3901762851200    11.47    17.90          4      0.00006   91254.011395   33174.011395
  201   201     999030  33711.264809  58121.3901766760320    11.82    18.03          2      0.00094   91254.045169   33174.045170
  202   202     999065  33712.445807  58121.3901903449860     7.38     9.40          2     -0.00028   91255.226204   33175.226205
  203   203     999097  33713.525589  58121.3902028424580     6.88    12.49          3     -0.00106   91256.306020   33176.306020
  204   204     999154  33715.449124  58121.3902251056000    14.16    22.83          4      0.00275   91258.229614   33178.229615
  205   205     999160  33715.651603  58121.3902274491140    55.19    77.30          3      0.00319   91258.432099   33178.432100
  206   206     999317  33720.949283  58121.3902887648510    18.62    22.08          2     -0.00053   91303.729944   33183.729945
  207   207     999352  33722.130456  58121.3903024358400    11.20    12.28          2      0.00344   91304.911155   33184.911155
  208   208     999415  33724.256435  58121.3903270420740     6.07     6.07          1      0.00664   91307.037199   33187.037200
  209   209     999454  33725.572294  58121.3903422719230    32.86    44.13          3      0.00200   91308.353100   33188.353100
  210   210     999492  33726.854579  58121.3903571131780     6.88    15.39          3      0.00242   91309.635425   33189.635425
  211   211     999542  33728.541766  58121.3903766408060     7.07     9.16          3      0.00208   91311.322664   33191.322665
  212   212     999567  33729.385205  58121.3903864028290     5.53     5.53          1     -0.00269   91312.166129   33192.166130
  213   213     999573  33729.587814  58121.3903887478400     5.75     7.78          2      0.00158   91312.368744   33192.368745
  214   214     999591  33730.195160  58121.3903957773180     7.27     7.27          1      0.00025   91312.976110   33192.976110
  215   215     999632  33731.578612  58121.3904117894910    10.73    16.61          3     -0.00128   91314.359604   33194.359605
  216   216     999650  33732.186033  58121.3904188198270    11.10    14.94          3     -0.00042   91314.967044   33194.967045
  217   217     999698  33733.805778  58121.3904375668740    27.96    33.17          3      0.00058   91316.586840   33196.586840
  218   218     999702  33733.940513  58121.3904391263100     6.17     6.99          2     -0.00653   91316.721579   33196.721580
  219   219     999817  33737.821368  58121.3904840436100     5.53     5.53          1      0.00225   91320.602554   33200.602555
  220   220     999940  33741.971939  58121.3905320826370    26.13    43.94          3      0.00406   91324.753255   33204.753255
  221   221    1000015  33744.502570  58121.3905613723390     6.78    10.09          2     -0.00092   91327.283965   33207.283965
  222   222    1000030  33745.008819  58121.3905672316930    19.89    30.21          4      0.00175   91327.790229   33207.790230
  223   223    1000132  33748.450667  58121.3906070679040     8.72    18.82          4      0.00061   91331.232185   33211.232185
  224   224    1000217  33751.318868  58121.3906402646780    18.52    26.99          3     -0.00053   91334.100474   33214.100475
  225   225    1000298  33754.052078  58121.3906718990460    15.00    24.23          3     -0.00208   91336.833769   33216.833770
  226   226    1000443  33758.944995  58121.3907285300350     5.52     7.53          2     -0.00089   91341.726840   33221.726840
  227   227    1000671  33766.638451  58121.3908175746560    13.10    14.50          2     -0.00600   91349.420534   33229.420535
  228   228    1000701  33767.650969  58121.3908292936190    28.41    76.20          6     -0.00011   91350.433084   33230.433085
  229   229    1000722  33768.359567  58121.3908374949890     6.02     8.44          2     -0.00086   91351.141705   33231.141705
  230   230    1000862  33773.083775  58121.3908921733250     5.60     9.80          3      0.00064   91355.866060   33235.866060
  231   231    1000907  33774.602348  58121.3909097494020    17.63    30.63          4      0.00339   91357.384680   33237.384680
  232   232    1001019  33778.381541  58121.3909534900610    24.18    32.99          3     -0.00056   91401.163990   33241.163990
  233   233    1001184  33783.949272  58121.3910179313920    25.79    30.97          2     -0.00131   91406.731894   33246.731895
  234   234    1001417  33791.811658  58121.3911089312260    39.14    47.53          3     -0.00022   91414.594525   33254.594525
  235   235    1001535  33795.793524  58121.3911550176380    10.62    16.16          3      0.00206   91418.576515   33258.576515
  236   236    1001713  33801.799862  58121.3912245354370     9.64    11.53          2     -0.00064   91424.583039   33264.583040
  237   237    1001740  33802.710973  58121.3912350807040    42.98    47.72          2      0.00006   91425.494180   33265.494180
  238   238    1001824  33805.545415  58121.3912678867460    37.96    48.16          3     -0.00150   91428.328710   33268.328710
  239   239    1001888  33807.704983  58121.3912928817410     9.73     9.73          1     -0.00289   91430.488344   33270.488345
  240   240    1001898  33808.042547  58121.3912967887360     7.43    12.30          3      0.00081   91430.825920   33270.825920
  241   241    1001914  33808.582421  58121.3913030372740    11.28    11.28          1     -0.00011   91431.365810   33271.365810
