yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2017 221 08 09  57974     33.7386455638600   4.196976E-013     29.6396012136058        -368706.86500       5.4986        50.00 
nGRPmax
    222
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
  188  5966    2430661  82007.257230  57974.9491580697980    61.66   124.98          9     -0.00186  225038.324695   82238.324695
  189  6043    2436384  82200.343596  57974.9513928657020    56.09    61.99          3     -0.00483  225351.395795   82431.395795
  190  6048    2437396  82234.487345  57974.9517880479740    52.66    64.09          4      0.00125  225425.536844   82465.536845
  191  6099    2441048  82357.701104  57974.9532141331460   133.72   148.39          3      0.00419  225628.740864   82588.740865
  192  6102    2441359  82368.193849  57974.9533355769470    65.59   116.24          5      0.00481  225639.232780   82599.232780
  193  6103    2441394  82369.374627  57974.9533492433660    58.10    66.44          3      0.00239  225640.413465   82600.413465
  194  6156    2446621  82545.726710  57974.9553903554430    64.04    84.29          4      0.00261  225936.751610   82776.751610
  195  6253    2455385  82841.412379  57974.9588126432770    72.67    81.04          3     -0.00125  230432.413914   83072.413915
  196  6267    2456773  82888.241714  57974.9593546494590    67.53    74.11          3      0.00028  230519.239549   83119.239550
  197  6274    2457003  82896.001617  57974.9594444631550    74.15    84.86          3      0.00047  230526.998840   83126.998840
  198  6318    2461360  83043.001129  57974.9611458464000    50.46    69.32          3      0.00292  230753.986739   83273.986740
  199  6484    2477878  83600.296549  57974.9675960248700    54.85    59.57          2     -0.00022  231711.238150   83831.238150
  200  6489    2478212  83611.565369  57974.9677264510340    75.76    89.74          4      0.00278  231722.506080   83842.506080
  201  6552    2483503  83790.076546  57974.9697925526140    55.25    59.71          2     -0.00281  232021.003165   84021.003165
  202  6615    2488806  83968.992903  57974.9718633437820    55.39    78.54          4      0.00131  232319.905400   84199.905400
  203  6624    2489557  83994.330397  57974.9721566018180    76.59   142.35          5     -0.00642  232345.240894   84225.240895
  204  6628    2489777  84001.753138  57974.9722425131650   111.77   130.44          3      0.00058  232352.663050   84232.663050
  205  6676    2493470  84126.350096  57974.9736846075900    61.63    72.44          4      0.00072  232557.250174   84357.250175
  206  6724    2498514  84296.527814  57974.9756542571010    71.10    77.38          3     -0.00489  232847.414464   84527.414465
  207  6726    2498661  84301.487405  57974.9757116597890   185.92   269.53          4     -0.00472  232852.373665   84532.373665
  208  6855    2510593  84704.057322  57974.9803710338180    52.61    56.77          2     -0.00547  233534.911825   84934.911825
  209  6902    2515127  84857.028580  57974.9821415344900   102.16   118.47          3     -0.00300  233807.871020   85087.871020
  210  6920    2516663  84908.851357  57974.9827413351550    51.91    60.98          3      0.00181  233859.689710   85139.689710
  211  6963    2520696  85044.919371  57974.9843161964290    55.53    70.24          3     -0.00094  234115.746994   85275.746995
  212  7003    2525166  85195.731406  57974.9860617060860    70.78    89.71          5      0.00306  234346.547139   85426.547140
  213  7049    2528800  85318.337646  57974.9874807597950   110.55   126.92          4     -0.00089  234549.143714   85549.143715
  214  7096    2533623  85481.059341  57974.9893641127420    52.54    64.48          3      0.00014  234831.852585   85711.852585
  215  7139    2536100  85564.630063  57974.9903313664640    69.13    99.50          3      0.00053  234955.416719   85795.416720
  216  7215    2543048  85799.046404  57974.9930445185660   291.43   331.43          5      0.00000  235349.814589   86029.814590
  217  7232    2543975  85830.322094  57974.9934065057150    50.13    57.00          3     -0.00219  235421.087815   86061.087815
  218  7241    2544464  85846.820208  57974.9935974561020    78.89    99.30          3     -0.00500  235437.584629   86077.584630
  219  7280    2546879  85928.299268  57974.9945405007870    64.03    74.43          3     -0.00075  235559.057270   86159.057270
  220  7283    2547086  85935.283078  57974.9946213319170    92.25   105.73          3     -0.00364  235606.040529   86166.040530
  221  7330    2550905  86064.131043  57974.9961126278140   499.22   573.92          3     -0.00558  235814.878345   86294.878345
  222  7353    2552587  86120.879713  57974.9967694411260   110.14   147.50          4      0.00058  235911.622545   86351.622545
