yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2018 313 11 09  58431     33.7552247881230   4.200554E-013     29.6250434199999        -368658.79077      13.8631         5.00 
nGRPmax
    152
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
  133   133    2254369  76096.795968  58431.8807499533310     5.00     5.60          2      0.40658  210029.130225   75629.130225
  134   134    2255195  76124.677595  58431.8810726573440     5.34     7.49          2      0.40047  210057.010229   75657.010230
  135   135    2258466  76235.091257  58431.8823505932540     6.19     7.71          2      0.40692  210247.417470   75767.417470
  136   136    2259626  76274.247349  58431.8828037887620     5.19     8.85          3      0.40647  210326.571284   75806.571285
  137   137    2261498  76337.437059  58431.8835351511420     5.17     5.17          1      0.40286  210429.757320   75869.757320
  138   138    2261643  76342.331699  58431.8835918020740     5.99     6.46          2      0.40636  210434.651675   75874.651675
  139   139    2261690  76343.918151  58431.8836101637890     5.13     5.13          1      0.40503  210436.238035   75876.238035
  140   140    2266239  76497.470615  58431.8853873913730     9.10     9.80          3      0.39942  210709.781570   76029.781570
  141   141    2276229  76834.685805  58431.8892903449730    10.96    10.96          1      0.40422  211246.977155   76366.977155
  142   142    2276566  76846.061371  58431.8894220066050     9.20    13.83          3      0.40583  211258.352060   76378.352060
  143   143    2278706  76918.297189  58431.8902580693120     5.18     6.34          2      0.39303  211410.583679   76450.583680
  144   144    2279962  76960.694149  58431.8907487748740     8.01    13.31          3      0.40331  211452.978174   76492.978175
  145   145    2282850  77058.179424  58431.8918770766720     7.52     9.59          2      0.40608  211630.457785   76590.457785
  146   146    2284524  77114.685683  58431.8925310843010     6.18     7.74          2      0.40511  211726.960760   76646.960760
  147   147    2285020  77131.428416  58431.8927248659200     5.48     6.32          2      0.40883  211743.702520   76663.702520
  148   148    2286617  77185.335109  58431.8933487859840     5.15     5.15          1      0.39542  211837.606079   76717.606080
  149   149    2288093  77235.157889  58431.8939254385280     6.36     6.36          1      0.39572  211927.425965   76767.425965
  150   150    2288363  77244.272013  58431.8940309260800     7.99     7.99          1      0.40208  211936.539560   76776.539560
  151   151    2290787  77326.094387  58431.8949779442940     5.00     5.88          2      0.39114  212058.357180   76858.357180
  152   152    2298134  77574.094200  58431.8978483124990     5.13     5.13          1      0.38900  212506.342585   77106.342585
