yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2018 313 11 09  58431     33.7552247881230   4.200554E-013     29.6250434199999        -368658.79077      13.8631         5.00 
nGRPmax
   1390
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
   86    86    1432651  48359.484889  58431.5597162602880     7.62     9.41          2     -0.00189  131813.465660   47893.465660
   87    87    1432685  48360.632654  58431.5597295446020    34.75    39.43          2      0.00039  131814.613355   47894.613355
   88    88    1432972  48370.320401  58431.5598416713090    51.48    51.48          1      0.00014  131824.300515   47904.300515
   89    89    1433287  48380.953215  58431.5599647362820     7.18     8.97          2     -0.00247  131834.932684   47914.932685
   90    90    1433366  48383.619802  58431.5599955995520     7.63    14.97          4     -0.00450  131837.599110   47917.599110
   91    91    1434139  48409.712908  58431.5602976030980     6.31     7.71          2      0.00417  131903.690634   47943.690635
   92    92    1435534  48456.801230  58431.5608426068220     5.74     5.74          1     -0.00306  131950.776104   47990.776105
   93    93    1436494  48489.206449  58431.5612176672380    27.89    34.70          3      0.00264  132023.179360   48023.179360
   94    94    1437946  48538.219008  58431.5617849422210     6.52     6.73          2      0.00094  132112.188950   48072.188950
   95    95    1438754  48565.493355  58431.5621006175360    13.80    15.97          2      0.00389  132139.461645   48099.461645
   96    96    1439038  48575.079821  58431.5622115720060     6.57    11.40          4      0.00347  132149.047530   48109.047530
   97    97    1439396  48587.164273  58431.5623514383490     5.04     9.78          3      0.00567  132201.131249   48121.131250
   98    98    1439836  48602.016247  58431.5625233361920     5.94     8.00          3     -0.00447  132215.982324   48135.982325
   99    99    1440412  48621.459375  58431.5627483723900     6.07    10.04          2     -0.00133  132235.424274   48155.424275
  100   100    1440690  48630.843208  58431.5628569815810     5.80     8.16          2     -0.00475  132244.807540   48164.807540
  101   101    1440748  48632.801117  58431.5628796425600    13.56    13.56          1     -0.00167  132246.765330   48166.765330
  102   102    1441694  48664.733766  58431.5632492334080     9.56    16.27          3      0.00361  132318.696044   48198.696045
  103   103    1442133  48679.552154  58431.5634207425280     9.61     9.61          1     -0.00128  132333.513534   48213.513535
  104   104    1442566  48694.168379  58431.5635899117950    24.21    26.56          2      0.00478  132348.128875   48228.128875
  105   105    1442687  48698.252711  58431.5636371841540    10.12    12.46          2      0.00350  132352.212959   48232.212960
  106   106    1443163  48714.320105  58431.5638231493630     8.36     8.36          1      0.00042  132408.279379   48248.279380
  107   107    1443266  48717.796875  58431.5638633897600    19.99    22.77          2     -0.00017  132411.755940   48251.755940
  108   108    1443663  48731.197537  58431.5640184900100    11.59    12.44          2     -0.00522  132425.155789   48265.155790
  109   109    1444165  48748.142723  58431.5642146148480    27.95    30.56          2     -0.00364  132442.099950   48282.099950
  110   110    1444429  48757.054318  58431.5643177583100     5.16     7.70          3      0.00231  132451.011005   48291.011005
